
2024/08/02 (17:08:38) | ===> btop++ v.1.3.2
2024/08/02 (17:08:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/02 (17:08:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/02 (19:53:41) | ===> btop++ v.1.3.2
2024/08/02 (19:53:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/02 (19:53:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/06 (23:15:05) | ===> btop++ v.1.3.2
2024/08/06 (23:15:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/06 (23:15:05) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/13 (16:12:45) | ===> btop++ v.1.3.2
2024/08/13 (16:12:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/13 (16:12:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/13 (22:23:18) | ===> btop++ v.1.3.2
2024/08/13 (22:23:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/13 (22:23:18) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/13 (23:25:34) | ===> btop++ v.1.3.2
2024/08/13 (23:25:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/13 (23:25:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/15 (04:20:11) | ===> btop++ v.1.3.2
2024/08/15 (04:20:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/15 (04:20:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/15 (16:23:56) | ===> btop++ v.1.3.2
2024/08/15 (16:23:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/15 (16:23:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/15 (16:30:48) | ===> btop++ v.1.3.2
2024/08/15 (16:30:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/15 (16:30:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/17 (17:45:14) | ===> btop++ v.1.3.2
2024/08/17 (17:45:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/17 (17:45:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/17 (17:47:39) | ===> btop++ v.1.3.2
2024/08/17 (17:47:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/17 (17:47:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/17 (17:48:11) | ===> btop++ v.1.3.2
2024/08/17 (17:48:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/17 (17:48:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/17 (23:09:48) | ===> btop++ v.1.3.2
2024/08/17 (23:09:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/17 (23:09:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/17 (23:10:09) | ===> btop++ v.1.3.2
2024/08/17 (23:10:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/17 (23:10:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/20 (01:59:22) | ===> btop++ v.1.3.2
2024/08/20 (01:59:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/20 (01:59:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/20 (03:14:06) | ===> btop++ v.1.3.2
2024/08/20 (03:14:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/20 (03:14:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/20 (03:15:09) | ===> btop++ v.1.3.2
2024/08/20 (03:15:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/20 (03:15:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/20 (03:23:43) | ===> btop++ v.1.3.2
2024/08/20 (03:23:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/20 (03:23:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/20 (03:31:24) | ===> btop++ v.1.3.2
2024/08/20 (03:31:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/20 (03:31:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/20 (03:34:30) | ===> btop++ v.1.3.2
2024/08/20 (03:34:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/20 (03:34:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/20 (03:35:56) | ===> btop++ v.1.3.2
2024/08/20 (03:35:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/20 (03:35:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/20 (03:36:55) | ===> btop++ v.1.3.2
2024/08/20 (03:36:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/20 (03:36:55) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/20 (03:37:05) | ===> btop++ v.1.3.2
2024/08/20 (03:37:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/20 (03:37:05) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/20 (03:53:11) | ===> btop++ v.1.3.2
2024/08/20 (03:53:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/20 (03:53:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/23 (00:18:26) | ===> btop++ v.1.3.2
2024/08/23 (00:18:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/23 (00:18:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/23 (00:39:13) | ===> btop++ v.1.3.2
2024/08/23 (00:39:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/23 (00:39:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/23 (01:09:04) | ===> btop++ v.1.3.2
2024/08/23 (01:09:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/23 (01:09:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/24 (23:38:56) | ===> btop++ v.1.3.2
2024/08/24 (23:38:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/24 (23:38:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/26 (22:25:14) | ===> btop++ v.1.3.2
2024/08/26 (22:25:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/26 (22:25:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/26 (22:54:11) | ===> btop++ v.1.3.2
2024/08/26 (22:54:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/26 (22:54:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/26 (23:08:33) | ===> btop++ v.1.3.2
2024/08/26 (23:08:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
